id,position_id/id,tax_src_id/id,tax_dest_id/id
fiscal_position_eu_tax1,fiscal_position_eu,account_tax_D01n,account_tax_D05
fiscal_position_eu_tax2,fiscal_position_eu,account_tax_D01b,account_tax_D05
fiscal_position_eu_tax3,fiscal_position_eu,account_tax_D02n,account_tax_D05
fiscal_position_eu_tax4,fiscal_position_eu,account_tax_D02b,account_tax_D05
fiscal_position_eu_tax5,fiscal_position_eu,account_tax_D20n,account_tax_D24n
fiscal_position_eu_tax6,fiscal_position_eu,account_tax_D20b,account_tax_D24b
fiscal_position_eu_tax7,fiscal_position_eu,account_tax_D21n,account_tax_D25n
fiscal_position_eu_tax8,fiscal_position_eu,account_tax_D21b,account_tax_D25b
fiscal_position_noeu_tax1,fiscal_position_noeu,account_tax_D01n,account_tax_D03
fiscal_position_noeu_tax2,fiscal_position_noeu,account_tax_D01b,account_tax_D03
fiscal_position_noeu_tax3,fiscal_position_noeu,account_tax_D02n,account_tax_D03
fiscal_position_noeu_tax4,fiscal_position_noeu,account_tax_D02b,account_tax_D03
fiscal_position_noeu_tax5,fiscal_position_noeu,account_tax_D20n,account_tax_D31
fiscal_position_noeu_tax6,fiscal_position_noeu,account_tax_D20b,account_tax_D31
fiscal_position_noeu_tax7,fiscal_position_noeu,account_tax_D21n,account_tax_D31
fiscal_position_noeu_tax8,fiscal_position_noeu,account_tax_D21b,account_tax_D31
